Таблица             |Столбец             |Тип данных     |Nullable  |Значение по умолчанию         |Ограничения                             
--------------------------------------------------------------------------------------------------------------------------------------------
bots                |id                  |integer        |NOT NULL  |nextval('bots_id_seq'::regclas|PRIMARY KEY                             
bots                |user_id             |integer        |NULL      |                              |FOREIGN KEY -> users.id                 
bots                |prompt              |text           |NOT NULL  |                              |                                        
bots                |status              |character varyi|NOT NULL  |'stopped'::character varying  |                                        
bots                |items               |jsonb          |NULL      |                              |                                        
bots                |is_authorized       |boolean        |NOT NULL  |false                         |                                        
bots                |parameters          |jsonb          |NOT NULL  |'[]'::jsonb                   |                                        
bots                |actions             |jsonb          |NOT NULL  |'[]'::jsonb                   |                                        
messages            |id                  |integer        |NOT NULL  |nextval('messages_id_seq'::reg|PRIMARY KEY                             
messages            |bot_id              |integer        |NULL      |                              |FOREIGN KEY -> bots.id                  
messages            |ad_id               |character varyi|NULL      |                              |                                        
messages            |text                |text           |NOT NULL  |                              |                                        
messages            |response            |text           |NULL      |                              |                                        
messages            |timestamp           |timestamp witho|NOT NULL  |now()                         |                                        
messages            |status              |character varyi|NOT NULL  |                              |                                        
messages            |is_test             |boolean        |NULL      |false                         |                                        
notifications       |id                  |integer        |NOT NULL  |nextval('notifications_id_seq'|PRIMARY KEY                             
notifications       |telegram_id         |character varyi|NOT NULL  |                              |                                        
notifications       |text                |text           |NOT NULL  |                              |                                        
notifications       |status              |character varyi|NOT NULL  |'pending'::character varying  |                                        
notifications       |created_at          |timestamp witho|NOT NULL  |now()                         |                                        
notifications       |sent_at             |timestamp witho|NULL      |                              |                                        
tokens              |id                  |integer        |NOT NULL  |nextval('tokens_id_seq'::regcl|PRIMARY KEY                             
tokens              |bot_id              |integer        |NULL      |                              |FOREIGN KEY -> bots.id                  
tokens              |access_token        |character varyi|NOT NULL  |                              |                                        
tokens              |refresh_token       |character varyi|NULL      |                              |                                        
tokens              |expires_at          |timestamp witho|NOT NULL  |                              |                                        
users               |id                  |integer        |NOT NULL  |nextval('users_id_seq'::regcla|PRIMARY KEY                             
users               |telegram_id         |character varyi|NOT NULL  |                              |UNIQUE                                  
users               |username            |character varyi|NOT NULL  |                              |UNIQUE                                  
users               |password_hash       |character varyi|NOT NULL  |                              |                                        
users               |registration_date   |timestamp witho|NOT NULL  |now()                         |                                        
users               |trial_end_date      |timestamp witho|NOT NULL  |                              |                                        
users               |balance             |numeric        |NULL      |0.00                          |                                        
